TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 33 082,Banderines de calidad del geoposicionamiento,12,"Falta más de una pequeña laguna de datos de altitud y efemérides, pero no más de una separación de granulado",
0 33 082,Banderines de calidad del geoposicionamiento,13,Falta más de una separación de granulado de datos de altitud y efemérides,
0 33 082,Banderines de calidad del geoposicionamiento,14,El número de valores de impulso del codificador por tiempo delta no es el previsto,
0 33 082,Banderines de calidad del geoposicionamiento,15,Eclipse solar durante exploración hacia la Tierra,
0 33 082,Banderines de calidad del geoposicionamiento,Todo16,Valor faltante,
0 33 083,Banderines de calidad de los datos de radiancia,1-5,Reservados,
0 33 083,Banderines de calidad de los datos de radiancia,6,Píxel afectado por interferencia de radiofrecuencia,
0 33 083,Banderines de calidad de los datos de radiancia,7,"Calidad de calibración deficiente debido a desviaciones de la visión de espacio, desviaciones de visión según calibración a bordo (OBC), etc. o utilización de una visión de calibración anterior",
0 33 083,Banderines de calidad de los datos de radiancia,8,Píxel saturado,
0 33 083,Banderines de calidad de los datos de radiancia,9,Datos faltantes: no se dispone de los datos necesarios para procesar la calibración,
0 33 083,Banderines de calidad de los datos de radiancia,10,Radiancia de píxel calibrada fuera de la gama de valores,
0 33 083,Banderines de calidad de los datos de radiancia,11,Reflectancia de píxel calibrada o temperatura efectiva del cuerpo negro fuera de la gama de valores,
0 33 083,Banderines de calidad de los datos de radiancia,12,La luna ha corrompido la visión de espacio,
0 33 083,Banderines de calidad de los datos de radiancia,13,Las datos de exploración están ausentes (no hay datos válidos),
0 33 083,Banderines de calidad de los datos de radiancia,14,La calidad de esta línea de exploración es reducida. El valor lo determinan el número de pasos combinados necesarios para encontrar un elemento sustitutivo de los datos de origen de termistor o calibración,
0 33 083,Banderines de calidad de los datos de radiancia,15,Sensor defectuoso,
0 33 083,Banderines de calidad de los datos de radiancia,Todo 16,Valor faltante,
0 33 084,Banderines de calidad del nivel del pixel,1-5,Reservados,
0 33 084,Banderines de calidad del nivel del pixel,6,TSM global fuera del intervalo de validación,
0 33 084,Banderines de calidad del nivel del pixel,7,TSM somera fuera del intervalo de validación,
0 33 084,Banderines de calidad del nivel del pixel,8,"Ángulo cenital del sensor > 40 grados (el píxel no está situado a menos de 40 grados del nadir, por lo que no es de alta calidad)",
0 33 084,Banderines de calidad del nivel del pixel,9,"Degradación: tamaño de la celda horizontal > 1,3 km (tamaño de la celda horizontal > 1,3 km, anchura de la franja >1 700 km, ángulo cenital del sensor > 50,3 grados)",
0 33 084,Banderines de calidad del nivel del pixel,10,Exclusión: No hay océano en el pixel,
0 33 084,Banderines de calidad del nivel del pixel,11,"Degradación: espesor óptico del aerosol > 0,6 (espesor óptico del aerosol en la celda horizontal > 0,6 a lo largo del trayecto oblicuo (espesor óptico del aerosol @550 nm))",
0 33 084,Banderines de calidad del nivel del pixel,12,"Exclusión: Espesor óptico del aerosol > 1,0 (espesor óptico del aerosol en la celda horizontal > 1,0 a lo largo del trayecto oblicuo (espesor óptico del aerosol @550 nm))",
0 33 084,Banderines de calidad del nivel del pixel,13,Presencia de reflexión especular del Sol en el píxel,
0 33 084,Banderines de calidad del nivel del pixel,14,Rebasado el umbral de concentración de hielo (TSM no recuperada debido a que la concentración de hielo rebasa el umbral en las especificaciones del sistema),
0 33 084,Banderines de calidad del nivel del pixel,15,Cirro de escaso grosor detectado en el píxel,
0 33 084,Banderines de calidad del nivel del pixel,Los 16,Valor faltante,
0 33 085,Banderines de calidad del espesor óptico de aerosol,1-3,Reservados,
0 33 085,Banderines de calidad del espesor óptico de aerosol,4,El exponente de Angstrom está fuera del intervalo de especificación del sistema,
0 33 085,Banderines de calidad del espesor óptico de aerosol,5,"Excluido, el exponente de Angstrom para el espesor óptico de aerosol a 550 nm < 0,15",
0 33 085,Banderines de calidad del espesor óptico de aerosol,6,"Superficie brillante en célula (cuando se produce sobre tierra), o aguas poco profundas o turbias en célula (cuando se produce sobre el océano)",
0 33 085,Banderines de calidad del espesor óptico de aerosol,7,"Sol bajo, excluido, ángulo cenital del sol > 80 grados",
0 33 085,Banderines de calidad del espesor óptico de aerosol,8,"Sol bajo, degradado, 65 grados < ángulo cenital del sol ≤ 80 grados",
0 33 085,Banderines de calidad del espesor óptico de aerosol,9,Incendio detectado en célula,
0 33 085,Banderines de calidad del espesor óptico de aerosol,10,Nieve/hielo en célula,
0 33 085,Banderines de calidad del espesor óptico de aerosol,11,Sombra de la nube en célula,
0 33 085,Banderines de calidad del espesor óptico de aerosol,12,Destello solar en célula,
0 33 085,Banderines de calidad del espesor óptico de aerosol,13,Mal registro de datos científicos presentes en célula horizontal (calidad del espesor óptico de aerosol/parámetro del tamaño de la partícula de aerosol degradado o espesor óptico de aerosol/parámetro del tamaño de la partícula de aerosol no recuperado debido a un mal registro de datos científicos en célula horizontal),
0 33 085,Banderines de calidad del espesor óptico de aerosol,14,Contaminación por cirrus en célula,
0 33 085,Banderines de calidad del espesor óptico de aerosol,15,Nube adyacente a célula,
0 33 085,Banderines de calidad del espesor óptico de aerosol,16,Contaminación de la nube en célula,
0 33 085,Banderines de calidad del espesor óptico de aerosol,17,El espesor óptico de aerosol está fuera del intervalo de especificación del sistema,
0 33 085,Banderines de calidad del espesor óptico de aerosol,Todo 18,Valor faltante,
0 33 086,Recuperación de la calidad del nivel del pixel,0,No recuperada,
0 33 086,Recuperación de la calidad del nivel del pixel,1,Excluida,
0 33 086,Recuperación de la calidad del nivel del pixel,2,Degradada,
0 33 086,Recuperación de la calidad del nivel del pixel,3,Alta calidad,
0 33 086,Recuperación de la calidad del nivel del pixel,4-6,Reservadas,
0 33 086,Recuperación de la calidad del nivel del pixel,7,Valor faltante,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),0,Inferior o igual a 10%,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),1,Superior a 10% pero inferior o igual a 20%,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),2,Superior a 20% pero inferior o igual a 30%,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),3,Superior a 30% pero inferior o igual a 40%,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),4,Superior a 40% pero inferior o igual a 50%,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),5,Superior a 50% pero inferior o igual a 60%,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),6,Superior a 60% pero inferior o igual a 70%,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),7,Superior a 70% pero inferior o igual a 80%,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),8,Superior a 80%,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),9-14,Reservadas,
0 33 087,Alcance del satélite en la anomalía del Atlántico sur (basado en datos climatológicos),15,Valor faltante,
0 33 088,Banderines de calidad de la columna total de ozono,1-5,Reservados,
0 33 088,Banderines de calidad de la columna total de ozono,6,Reflectividad de la superficie fuera del intervalo,
0 33 088,Banderines de calidad de la columna total de ozono,7,Umbral residual excedido,
0 33 088,Banderines de calidad de la columna total de ozono,8,Límite del índice de aerosoles excedido,
0 33 088,Banderines de calidad de la columna total de ozono,9,"Eclipse solar presente (toda o una parte del IFOV se ve afectado por un eclipse solar, la sombra de la Tierra o la penumbra)",* IFOV = campo visual instantáneo
0 33 088,Banderines de calidad de la columna total de ozono,10,Destello solar presente en el IFOV,* IFOV = campo visual instantáneo
0 33 088,Banderines de calidad de la columna total de ozono,11,Superficie de nieve o de hielo en el IFOV,* IFOV = campo visual instantáneo
0 33 088,Banderines de calidad de la columna total de ozono,12,Ángulo cenital del sol en condición excluida (noche) (ángulo cenital del sol ≥ 88 grados),
0 33 088,Banderines de calidad de la columna total de ozono,13,Ángulo cenital del sol en condición degradada (80 grados ≤ ángulo cenital del sol < 88 grados),
0 33 088,Banderines de calidad de la columna total de ozono,14,Índice SO2 > 6 DU (condición degradada),
0 33 088,Banderines de calidad de la columna total de ozono,15,Los residuos no son coherentes (indica si los residuos de las 22 longitudes de onda son coherentes),
0 33 088,Banderines de calidad de la columna total de ozono,16,La selección del triplete 03 no es coherente en el triplete de ozono recuperado (coherencia),
0 33 088,Banderines de calidad de la columna total de ozono,17,La calidad de los datos entrantes no es buena,
0 33 088,Banderines de calidad de la columna total de ozono,Todo 18,Valor faltante,
0 33 092,Banderín de calidad oceánica de banda específica,1,Altímetro en funcionamiento,
0 33 092,Banderín de calidad oceánica de banda específica,2,Radiómetro de microondas en funcionamiento,
0 33 092,Banderín de calidad oceánica de banda específica,3-8,Reservadas,
0 33 092,Banderín de calidad oceánica de banda específica,Todos los 9,Valor faltante,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,1,La calidad del retraso del trayecto se considera insuficiente,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,2,Se usan satélites GALILEO,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,3,Se usan satélites GLONASS,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,4,Se usan satélites GPS,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,5,Se usan satélites BeiDou,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,6-8,Reservados para nuevo GNSS,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,9,Se aplican datos meteorológicos,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,10,Se aplica corrección por carga de presión atmosférica,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,11,Se aplica efecto oceánico indirecto,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,12,Se aplican correcciones ionosféricas de segundo orden,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,13,Se aplican correcciones ionosféricas de tercer orden,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,14,Solución PPP,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,15,Gradientes aplicados a retraso de trayecto,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,16,Correcciones multitrayecto aplicadas a retraso de trayecto,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,17,Residuos aplicados a retraso de trayecto,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,18,Proceso de datos de calidad sobre clima,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,19,Reproceso,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,20,Postproceso,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,21,Proceso de datos en tiempo casi real,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,22,Proceso de datos en tiempo real,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,23,Reservado,
0 33 093,Banderines de calidad ampliados para datos del GNSS terrestres,Los 31,Valor faltante,
