TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 20 003,Tiempo presente,Cifra de clave,"Precipitación sólida, pero no en forma de chubasco",
0 20 003,Tiempo presente,Cifra de clave,Caída intermitente de copos de nieve,débil en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,Caída continua de copos de nieve,débil en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,Caída intermitente de copos de nieve,moderada en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,Caída continua de copos de nieve,moderada en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,Caída intermitente de copos de nieve,fuerte en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,Caída continua de copos de nieve,fuerte en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,Prismas de hielo (con niebla o sin ella),
0 20 003,Tiempo presente,Cifra de clave,Granos de nieve (cinarra) (con niebla o sin ella),
0 20 003,Tiempo presente,Cifra de clave,Cristales de nieve aislados en forma de estrella (con niebla o sin ella),
0 20 003,Tiempo presente,Cifra de clave,Hielo granulado,
0 20 003,Tiempo presente,Cifra de clave,Precipitación en forma de chubascos o precipitación con tormenta o después de una tormenta,
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de lluvia, débil(es)",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de lluvia, moderado(s) o fuerte(s)",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de lluvia, violento(s)",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de lluvia y nieve, débil(es)",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de lluvia y nieve, moderado(s) o fuerte(s)",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de nieve, débil(es)",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de nieve, moderado(s) o fuerte(s)",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de nieve granulada o granizo menudo, con lluvia o lluvia y nieve, o sin ellas",débil(es)
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de nieve granulada o granizo menudo, con lluvia o lluvia y nieve, o sin ellas",moderado(s) o fuerte(s)
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de granizo, con lluvia o lluvia y nieve, o sin ellas y sin truenos",débil(es)
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de granizo, con lluvia o lluvia y nieve, o sin ellas y sin truenos",moderado(s) o fuerte(s)
0 20 003,Tiempo presente,Cifra de clave,Lluvia débil en el momento de la observación,"Tormenta durante la hora precedente, pero no en el momento de la observación"
0 20 003,Tiempo presente,Cifra de clave,Lluvia moderada o fuerte en el momento de la observación,"Tormenta durante la hora precedente, pero no en el momento de la observación"
0 20 003,Tiempo presente,Cifra de clave,"Nieve o lluvia y nieve o granizo*, débiles en el momento de la observación","Tormenta durante la hora precedente, pero no en el momento de la observación"
0 20 003,Tiempo presente,Cifra de clave,"Nieve o lluvia y nieve o granizo*, moderados o fuertes en el momento de la observación","Tormenta durante la hora precedente, pero no en el momento de la observación"
0 20 003,Tiempo presente,Cifra de clave,"Tormenta débil o moderada sin granizo*, pero con lluvia y/o nieve en el momento de la observación",Tormenta en el momento de la en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Tormenta débil o moderada, con granizo* en el momento de la observación",Tormenta en el momento de la en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Tormenta fuerte sin granizo*, pero con lluvia y/o nieve",Tormenta en el momento de la en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,Tormenta con tempestad de polvo o de arena en el momento de la observación,Tormenta en el momento de la en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Tormenta fuerte, con granizo*, en el momento de la observación",Tormenta en el momento de la en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,Tiempo presente notificado desde una estación automática,
0 20 003,Tiempo presente,Cifra de clave,No fue observado ningún tiempo significativo,
0 20 003,Tiempo presente,Cifra de clave,Nubes en disolución o haciéndose menos espesas en el curso de la hora precedente,
0 20 003,Tiempo presente,Cifra de clave,Estado del cielo sin cambios en su conjunto en el curso de la hora precedente,
0 20 003,Tiempo presente,Cifra de clave,Nubes en formación o en desarrollo en el curso de la hora precedente,
0 20 003,Tiempo presente,Cifra de clave,"Bruma o humo, o polvo en suspensión en el aire, visibilidad igual o superior a 1 km",
0 20 003,Tiempo presente,Cifra de clave,"Bruma o humo, o polvo en suspensión en el aire, visibilidad inferior a 1 km",
0 20 003,Tiempo presente,Cifra de clave,Reservadas,
0 20 003,Tiempo presente,Cifra de clave,Neblina,
0 20 003,Tiempo presente,Cifra de clave,Prismas de hielo,
0 20 003,Tiempo presente,Cifra de clave,Relámpagos distantes,
0 20 003,Tiempo presente,Cifra de clave,Reservadas,
0 20 003,Tiempo presente,Cifra de clave,Turbonada,
0 20 003,Tiempo presente,Cifra de clave,Reservada,
0 20 003,Tiempo presente,Cifra de clave,"Las cifras de clave 120-126 se utilizan para informar sobre precipitación, niebla (o niebla helada) o tormenta en la estación en el curso de la hora precedente pero no en el momento de la observación",
0 20 003,Tiempo presente,Cifra de clave,Niebla,
0 20 003,Tiempo presente,Cifra de clave,PRECIPITACIÓN,
0 20 003,Tiempo presente,Cifra de clave,Llovizna (no engelante) o cinarra,
0 20 003,Tiempo presente,Cifra de clave,Lluvia (no engelante),
0 20 003,Tiempo presente,Cifra de clave,Nieve,
0 20 003,Tiempo presente,Cifra de clave,Llovizna engelante o lluvia engelante,
0 20 003,Tiempo presente,Cifra de clave,Tormenta (con precipitación o sin ella),
0 20 003,Tiempo presente,Cifra de clave,VENTISCA ALTA O VENTISCA BAJA DE NIEVE O ARENA,
0 20 003,Tiempo presente,Cifra de clave,"Ventisca alta o ventisca baja de nieve o arena, visibilidad igual o superior a 1 km",
0 20 003,Tiempo presente,Cifra de clave,"Ventisca alta o ventisca baja de nieve o arena, visibilidad inferior a 1 km",
0 20 003,Tiempo presente,Cifra de clave,NIEBLA,
0 20 003,Tiempo presente,Cifra de clave,Niebla o niebla helada en bancos,
0 20 003,Tiempo presente,Cifra de clave,"Niebla o niebla helada, que ha disminuido en el curso de la hora precedente",
0 20 003,Tiempo presente,Cifra de clave,Niebla o niebla helada sin cambio apreciable en el curso de la hora precedente,
0 20 003,Tiempo presente,Cifra de clave,"Niebla o niebla helada, que ha comenzado o se ha espesado en el curso de la hora precedente",
0 20 003,Tiempo presente,Cifra de clave,Niebla que deposita cencellada blanca,
0 20 003,Tiempo presente,Cifra de clave,Reservadas,
0 20 003,Tiempo presente,Cifra de clave,PRECIPITACIÓN,
0 20 003,Tiempo presente,Cifra de clave,"Precipitación, débil o moderada",
0 20 003,Tiempo presente,Cifra de clave,"Precipitación, fuerte",
0 20 003,Tiempo presente,Cifra de clave,"Precipitación líquida, débil o moderada",
0 20 003,Tiempo presente,Cifra de clave,"Precipitación líquida, fuerte",
0 20 003,Tiempo presente,Cifra de clave,"Precipitación sólida, débil o moderada",
0 20 003,Tiempo presente,Cifra de clave,"Precipitación sólida, fuerte",
0 20 003,Tiempo presente,Cifra de clave,"Precipitación engelante, débil o moderada",
0 20 003,Tiempo presente,Cifra de clave,"Precipitación engelante, fuerte",
0 20 003,Tiempo presente,Cifra de clave,Reservada,
0 20 003,Tiempo presente,Cifra de clave,LLOVIZNA,
0 20 003,Tiempo presente,Cifra de clave,"Llovizna, no engelante, débil",
0 20 003,Tiempo presente,Cifra de clave,"Llovizna, no engelante, moderada",
0 20 003,Tiempo presente,Cifra de clave,"Llovizna, no engelante, fuerte",
0 20 003,Tiempo presente,Cifra de clave,"Llovizna, engelante, débil",
0 20 003,Tiempo presente,Cifra de clave,"Llovizna, engelante, moderada",
0 20 003,Tiempo presente,Cifra de clave,"Llovizna, engelante, fuerte",
0 20 003,Tiempo presente,Cifra de clave,"Llovizna y lluvia, débil",
0 20 003,Tiempo presente,Cifra de clave,"Llovizna y lluvia, moderada o fuerte",
0 20 003,Tiempo presente,Cifra de clave,Reservada,
0 20 003,Tiempo presente,Cifra de clave,LLUVIA,
0 20 003,Tiempo presente,Cifra de clave,"Lluvia, no engelante, débil",
0 20 003,Tiempo presente,Cifra de clave,"Lluvia, no engelante, moderada",
0 20 003,Tiempo presente,Cifra de clave,"Lluvia, no engelante, fuerte",
0 20 003,Tiempo presente,Cifra de clave,"Lluvia, engelante, débil",
0 20 003,Tiempo presente,Cifra de clave,"Lluvia, engelante, moderada",
0 20 003,Tiempo presente,Cifra de clave,"Lluvia, engelante, fuerte",
0 20 003,Tiempo presente,Cifra de clave,"Lluvia (o llovizna) y nieve, débil",
0 20 003,Tiempo presente,Cifra de clave,"Lluvia (o llovizna) y nieve, moderada o fuerte",
0 20 003,Tiempo presente,Cifra de clave,Reservada,
0 20 003,Tiempo presente,Cifra de clave,NIEVE,
0 20 003,Tiempo presente,Cifra de clave,"Nieve, débil",
0 20 003,Tiempo presente,Cifra de clave,"Nieve, moderada",
0 20 003,Tiempo presente,Cifra de clave,"Nieve, fuerte",
0 20 003,Tiempo presente,Cifra de clave,"Hielo granulado, débil",
0 20 003,Tiempo presente,Cifra de clave,"Hielo granulado, moderado",
0 20 003,Tiempo presente,Cifra de clave,"Hielo granulado, fuerte",
0 20 003,Tiempo presente,Cifra de clave,Cinarra,
0 20 003,Tiempo presente,Cifra de clave,Cristales de hielo,
0 20 003,Tiempo presente,Cifra de clave,Reservada,
0 20 003,Tiempo presente,Cifra de clave,CHUBASCO(S) o PRECIPITACIÓN INTERMITENTE,
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de lluvia o lluvia intermitente, débil",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de lluvia o lluvia intermitente, moderada",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de lluvia o lluvia intermitente, fuerte",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de lluvia o lluvia intermitente, violenta",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de nieve o nieve intermitente, débil",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de nieve o nieve intermitente, moderada",
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de nieve o nieve intermitente, fuerte",
0 20 003,Tiempo presente,Cifra de clave,Reservada,
0 20 003,Tiempo presente,Cifra de clave,Granizo,
0 20 003,Tiempo presente,Cifra de clave,TORMENTA,
0 20 003,Tiempo presente,Cifra de clave,"Tormenta, débil o moderada, sin precipitación",
0 20 003,Tiempo presente,Cifra de clave,"Tormenta, débil o moderada, con chubascos de lluvia y/o chubascos de nieve",
0 20 003,Tiempo presente,Cifra de clave,"Tormenta, débil o moderada, con granizo",
0 20 003,Tiempo presente,Cifra de clave,"Tormenta, fuerte, sin precipitación",
0 20 003,Tiempo presente,Cifra de clave,"Tormenta, fuerte, con chubascos de lluvia y/o chubascos de nieve",
0 20 003,Tiempo presente,Cifra de clave,"Tormenta, fuerte, con granizo",
0 20 003,Tiempo presente,Cifra de clave,Reservadas,
0 20 003,Tiempo presente,Cifra de clave,Tornado,
0 20 003,Tiempo presente,Decilos,Tiempo presente (además del tiempo presente notificado desde una estación automática o con dotación de personal),
0 20 003,Tiempo presente,Decilos,No utilizadas,
0 20 003,Tiempo presente,Decilos,Cenizas volcánicas en suspensión a gran altitud,
0 20 003,Tiempo presente,Decilos,No utilizada,
0 20 003,Tiempo presente,Decilos,"Calima espesa de polvo, visibilidad inferior a 1 km",
0 20 003,Tiempo presente,Decilos,Ventisca de rociones en la estación,
0 20 003,Tiempo presente,Decilos,Ventisca de polvo baja (arena),
0 20 003,Tiempo presente,Decilos,Muro de polvo o arena a distancia (como el haboob),
0 20 003,Tiempo presente,Decilos,Calima de nieve,
0 20 003,Tiempo presente,Decilos,Resplandor blanco,
0 20 003,Tiempo presente,Decilos,No utilizada,
0 20 003,Tiempo presente,Decilos,"Relámpago, de la nube a la superficie",
0 20 003,Tiempo presente,Decilos,No utilizadas,
0 20 003,Tiempo presente,Decilos,Tormenta seca,
0 20 003,Tiempo presente,Decilos,No utilizada,
0 20 003,Tiempo presente,Decilos,Nube de tornado (devastadora) en la estación o a la vista de ésta observada en la hora anterior o en el momento de la observación,
0 20 003,Tiempo presente,Decilos,Depósito de cenizas volcánicas,
0 20 003,Tiempo presente,Decilos,Depósito de polvo o arena,
0 20 003,Tiempo presente,Decilos,Depósito de rocío,
0 20 003,Tiempo presente,Decilos,Depósito de aguanieve,
0 20 003,Tiempo presente,Decilos,Depósito de cencellada blanca granulada,
0 20 003,Tiempo presente,Decilos,Depósito de cencellada blanca cristalizada,
0 20 003,Tiempo presente,Decilos,Depósito de escarcha,
0 20 003,Tiempo presente,Decilos,Depósito de cencellada transparente,
0 20 003,Tiempo presente,Decilos,Depósito de costra de hielo (hielo liso),
0 20 003,Tiempo presente,Decilos,No utilizada,
0 20 003,Tiempo presente,Decilos,Tempestad de polvo o de arena con temperatura inferior a 0°C,
0 20 003,Tiempo presente,Decilos,No utilizadas,
0 20 003,Tiempo presente,Decilos,"Ventisca de nieve, imposibilidad de determinar si la nieve cae o no",
0 20 003,Tiempo presente,Decilos,No utilizada,
0 20 003,Tiempo presente,Decilos,Niebla en el mar,
0 20 003,Tiempo presente,Decilos,Niebla en valles,
0 20 003,Tiempo presente,Decilos,Humo en el mar Ártico o Antártico,
0 20 003,Tiempo presente,Decilos,"Vapor de niebla (mar, lago o río)",
0 20 003,Tiempo presente,Decilos,Vapor de niebla (tierra),
0 20 003,Tiempo presente,Decilos,Niebla sobre la capa de hielo o el manto de nieve,
0 20 003,Tiempo presente,Decilos,"Niebla densa, visibilidad 60-90 m",
0 20 003,Tiempo presente,Decilos,"Niebla densa, visibilidad 30-60 m",
0 20 003,Tiempo presente,Decilos,"Niebla densa, visibilidad inferior a 30 m",
0 20 003,Tiempo presente,Decilos,"Llovizna, velocidad de la caída","menos de 0,10 mm h¯¹"
0 20 003,Tiempo presente,Decilos,"Llovizna, velocidad de la caída","0,10-0,19 mm h-1"
0 20 003,Tiempo presente,Decilos,"Llovizna, velocidad de la caída","0,20-0,39 mm h-1"
0 20 003,Tiempo presente,Decilos,"Llovizna, velocidad de la caída","0,40-0,79 mm h-¹"
0 20 003,Tiempo presente,Decilos,"Llovizna, velocidad de la caída","0,80-1,59 mm h¯¹"
0 20 003,Tiempo presente,Decilos,"Llovizna, velocidad de la caída","1,60-3,19 mm h-1"
0 20 003,Tiempo presente,Decilos,"Llovizna, velocidad de la caída","3,20-6,39 mm h-1"
0 20 003,Tiempo presente,Decilos,"Llovizna, velocidad de la caída","6,4 mm h¯¹ o más"
0 20 003,Tiempo presente,Decilos,No utilizada,
0 20 003,Tiempo presente,Decilos,Llovizna y nieve,
0 20 003,Tiempo presente,Decilos,"Lluvia, intensidad","menos de 1,0 mm h-1"
0 20 003,Tiempo presente,Decilos,"Lluvia, intensidad","1,0-1,9 mm h-1"
0 20 003,Tiempo presente,Decilos,"Lluvia, intensidad","2,0-3,9 mm h-1"
0 20 003,Tiempo presente,Decilos,"Lluvia, intensidad","4,0-7,9 mm h-1"
0 20 003,Tiempo presente,Decilos,"Lluvia, intensidad","8,0-15,9 mm h-1"
0 20 003,Tiempo presente,Decilos,"Lluvia, intensidad","16,0-31,9 mm h-1"
0 20 003,Tiempo presente,Decilos,"Lluvia, intensidad","32,0-63,9 mm h-1"
0 20 003,Tiempo presente,Decilos,"Lluvia, intensidad","64,0 mm h-¹ o más"
0 20 003,Tiempo presente,Decilos,No utilizadas,
0 20 003,Tiempo presente,Decilos,"Nevada, intensidad","menos de 1,0 cm h-1"
0 20 003,Tiempo presente,Decilos,"Nevada, intensidad","1,0-1,9 cm h-1"
0 20 003,Tiempo presente,Decilos,"Nevada, intensidad","2,0-3,9 cm h-1"
0 20 003,Tiempo presente,Decilos,"Nevada, intensidad","4,0-7,9 cm h-1"
0 20 003,Tiempo presente,Decilos,"Nevada, intensidad","8,0-15,9 cm h-1"
0 20 003,Tiempo presente,Decilos,"Nevada, intensidad","16,0-31,9 cm h-1"
0 20 003,Tiempo presente,Decilos,"Nevada, intensidad","32,0-63,9 cm h-1"
0 20 003,Tiempo presente,Decilos,"Nevada, intensidad","64,0 cm h¯¹ o más"
0 20 003,Tiempo presente,Decilos,Precipitación de cristales de nieve o hielo con cielo despejado,
0 20 003,Tiempo presente,Decilos,Aguanieve engelante al contacto,
0 20 003,Tiempo presente,Decilos,Precipitación de lluvia,
0 20 003,Tiempo presente,Decilos,"Precipitación de lluvia, engelante",
0 20 003,Tiempo presente,Decilos,Precipitación de lluvia y nieve mezcladas,
0 20 003,Tiempo presente,Decilos,Precipitación de nieve,
0 20 003,Tiempo presente,Decilos,Precipitación de nieve granulada o granizo menudo,
0 20 003,Tiempo presente,Decilos,"Precipitación de nieve granulada o granizo menudo, con lluvia",
0 20 003,Tiempo presente,Decilos,"Precipitación de nieve granulada o granizo menudo, con lluvia y nieve mezcladas",
0 20 003,Tiempo presente,Decilos,"Precipitación de nieve granulada o granizo menudo, con nieve",
0 20 003,Tiempo presente,Decilos,Precipitación de granizo,
0 20 003,Tiempo presente,Decilos,Precipitación de granizo con lluvia,
0 20 003,Tiempo presente,Decilos,Precipitación de granizo con lluvia y nieve mezcladas,
0 20 003,Tiempo presente,Decilos,Precipitación de granizo con nieve,
0 20 003,Tiempo presente,Decilos,Chubasco(s) o tormenta sobre el mar,
0 20 003,Tiempo presente,Decilos,Chubasco(s) o tormenta sobre montañas,
0 20 003,Tiempo presente,Decilos,No utilizadas,
0 20 003,Tiempo presente,Cifra de clave,Reservadas,
0 20 003,Tiempo presente,Cifra de clave,No se comunica ningún fenómeno significativo y se omite el tiempo presente y pasado,
0 20 003,Tiempo presente,Cifra de clave,"Sin observación, ningún dato disponible, se omite el tiempo presente y pasado",
0 20 003,Tiempo presente,Cifra de clave,Falta pero se prevé el tiempo presente y pasado,
0 20 003,Tiempo presente,Cifra de clave,Valor faltante,
0 20 004/0 20 005,Tiempo pasado 1) y 2),Cifra de clave,Nubes que cubren la mitad o menos del cielo durante el período considerado,
0 20 004/0 20 005,Tiempo pasado 1) y 2),Cifra de clave,Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante otra parte del período,
0 20 004/0 20 005,Tiempo pasado 1) y 2),Cifra de clave,Nubes que cubren más de la mitad del cielo durante todo el período considerado,
0 20 004/0 20 005,Tiempo pasado 1) y 2),Cifra de clave,"Tempestad de arena, tempestad de polvo o ventisca alta",
0 20 004/0 20 005,Tiempo pasado 1) y 2),Cifra de clave,Niebla o niebla helada o bruma espesa,
0 20 004/0 20 005,Tiempo pasado 1) y 2),Cifra de clave,Llovizna,
