TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 08 011,Característica meteorológica,25,Tempestad de arena,
0 08 011,Característica meteorológica,26-62,Reservadas,
0 08 011,Característica meteorológica,63,Valor faltante,
0 08 012,Calificador tierra/mar,0,Tierra,
0 08 012,Calificador tierra/mar,1,Mar,
0 08 012,Calificador tierra/mar,2,Costa,
0 08 012,Calificador tierra/mar,3,Valor faltante,
0 08 013,Calificador dia/noche,0,Noche,
0 08 013,Calificador dia/noche,1,Día,
0 08 013,Calificador dia/noche,2,Crepúsculo,
0 08 013,Calificador dia/noche,3,Valor faltante,
0 08 014,Calificador para el alcance visual en pista,0,Valor medio de 10 minutos,valor normal
0 08 014,Calificador para el alcance visual en pista,1,Valor medio de 10 minutos,por encima del límite superior para evaluaciones del alcance visual en pista (P)
0 08 014,Calificador para el alcance visual en pista,2,Valor medio de 10 minutos,por debajo del límite inferior para evaluaciones del alcance visual en pista (M)
0 08 014,Calificador para el alcance visual en pista,3,Valor mínimo de un minuto,valor normal
0 08 014,Calificador para el alcance visual en pista,4,Valor mínimo de un minuto,por encima del límite superior para evaluaciones del alcance visual en pista (P)
0 08 014,Calificador para el alcance visual en pista,5,Valor mínimo de un minuto,por debajo del límite inferior para evaluaciones del alcance visual en pista (M)
0 08 014,Calificador para el alcance visual en pista,6,Valor máximo de un minuto,valor normal
0 08 014,Calificador para el alcance visual en pista,7,Valor máximo de un minuto,por encima del límite superior para evaluaciones del alcance visual en pista (P)
0 08 014,Calificador para el alcance visual en pista,8,Valor máximo de un minuto,por debajo del límite inferior para evaluaciones del alcance visual en pista (M)
0 08 014,Calificador para el alcance visual en pista,9-14,Reservadas,
0 08 014,Calificador para el alcance visual en pista,15,Valor faltante,
0 08 015,Calificador significativo del sensor,0,Sensor único,
0 08 015,Calificador significativo del sensor,1,Sensor primario,
0 08 015,Calificador significativo del sensor,2,Sensor secundario (reserva),
0 08 015,Calificador significativo del sensor,3-6,Reservadas,
0 08 015,Calificador significativo del sensor,7,Valor faltante,
0 08 016,Calificador de cambio de un pronóstico de tipo tendencia o de un pronóstico de aeródromo,0,NOSIG,
0 08 016,Calificador de cambio de un pronóstico de tipo tendencia o de un pronóstico de aeródromo,1,BECMG,
0 08 016,Calificador de cambio de un pronóstico de tipo tendencia o de un pronóstico de aeródromo,2,TEMPO,
0 08 016,Calificador de cambio de un pronóstico de tipo tendencia o de un pronóstico de aeródromo,3,FM,
0 08 016,Calificador de cambio de un pronóstico de tipo tendencia o de un pronóstico de aeródromo,4-6,Reservadas,
0 08 016,Calificador de cambio de un pronóstico de tipo tendencia o de un pronóstico de aeródromo,7,Valor faltante,
0 08 017,Calificador de la hora a la cual se espera que se produzca el cambio previsto,0,FM,
0 08 017,Calificador de la hora a la cual se espera que se produzca el cambio previsto,1,TL,
0 08 017,Calificador de la hora a la cual se espera que se produzca el cambio previsto,2,AT,
0 08 017,Calificador de la hora a la cual se espera que se produzca el cambio previsto,3,Valor faltante,
0 08 018,Tipo de superficie tierra/hielo medida por SeaWinds,1,Presencia de tierra,
0 08 018,Tipo de superficie tierra/hielo medida por SeaWinds,2,Mapa de hielos en superficie indica presencia de hielo,
0 08 018,Tipo de superficie tierra/hielo medida por SeaWinds,3-10,Reservados,
0 08 018,Tipo de superficie tierra/hielo medida por SeaWinds,11,Datos del mapa de hielos no disponibles,
0 08 018,Tipo de superficie tierra/hielo medida por SeaWinds,12,Datos del mapa de atenuación no disponibles,
0 08 018,Tipo de superficie tierra/hielo medida por SeaWinds,13-16,Reservados,
0 08 018,Tipo de superficie tierra/hielo medida por SeaWinds,Los 17,Valor faltante,
0 08 019,Calificador para el identificador del centro siguiente,0,Reservada,
0 08 019,Calificador para el identificador del centro siguiente,1,Unidad ATS (servicio de tránsito aéreo) que presta servicio a la FIR (Región de Información de Vuelo),
0 08 019,Calificador para el identificador del centro siguiente,2,FIR (Región de información de vuelo),
0 08 019,Calificador para el identificador del centro siguiente,3,UIR (Región superior de información de vuelo),
0 08 019,Calificador para el identificador del centro siguiente,4,CTA (Área de control),
0 08 019,Calificador para el identificador del centro siguiente,5,VAAC (Centro de avisos de cenizas volcánicas),
0 08 019,Calificador para el identificador del centro siguiente,6,MWO (Oficina de Vigilancia Meteorológica) que emite mensajes SIGMET,
0 08 019,Calificador para el identificador del centro siguiente,7-14,Reservadas,
0 08 019,Calificador para el identificador del centro siguiente,15,Valor faltante,
0 08 021,Significación temporal,0,Reservada,
0 08 021,Significación temporal,1,Serie temporal,
0 08 021,Significación temporal,2,Valor medio del tiempo (véase la nota 1),
0 08 021,Significación temporal,3,Acumulado,
0 08 021,Significación temporal,4,Predicción,
0 08 021,Significación temporal,5,Serie temporal de predicción,
0 08 021,Significación temporal,6,Tiempo medio de predicción,
0 08 021,Significación temporal,7,Predicción acumulada,
0 08 021,Significación temporal,8,Media de conjunto (véase la nota 2),
0 08 021,Significación temporal,9,Serie temporal de medias de conjunto,
0 08 021,Significación temporal,10,Promedio de tiempo de medias de conjunto,
0 08 021,Significación temporal,11,Valor acumulado de medias de conjunto,
0 08 021,Significación temporal,12,Predicción media de conjunto,
0 08 021,Significación temporal,13,Serie temporal de predicción media de conjunto,
0 08 021,Significación temporal,14,Promedio de tiempo de predicción media de conjunto,
0 08 021,Significación temporal,15,Valor acumulado de predicción media de conjunto,
0 08 021,Significación temporal,16,Análisis,
0 08 021,Significación temporal,17,Comienzo del fenómeno,
0 08 021,Significación temporal,18,Hora del lanzamiento del radiosonda,
0 08 021,Significación temporal,19,Comienzo de la órbita,
0 08 021,Significación temporal,20,Final de la órbita,
0 08 021,Significación temporal,21,Hora del nodo ascendente,
0 08 021,Significación temporal,22,Hora de la aparición de un salto de viento,
0 08 021,Significación temporal,23,Período de control,
0 08 021,Significación temporal,24,Límite de tiempo acordado para la recepción de informes,
0 08 021,Significación temporal,25,Hora de notificación nominal,
0 08 021,Significación temporal,26,Hora de la última posición conocida,
0 08 021,Significación temporal,27,Primera aproximación,
0 08 021,Significación temporal,28,Inicio de la exploración,
0 08 021,Significación temporal,29,Final de exploración u hora de finalización,
0 08 021,Significación temporal,30,Hora de ocurrencia,
0 08 021,Significación temporal,31,Valor faltante,
0 08 023,Estadísticas de primer orden*,0-1,Reservadas,
0 08 023,Estadísticas de primer orden*,2,Valor máximo,
0 08 023,Estadísticas de primer orden*,3,Valor mínimo,
0 08 023,Estadísticas de primer orden*,4,Valor medio,
0 08 023,Estadísticas de primer orden*,5,Valor mediano,
0 08 023,Estadísticas de primer orden*,6,Valor modal,
0 08 023,Estadísticas de primer orden*,7,Error medio absoluto,
0 08 023,Estadísticas de primer orden*,8,Reservada,
0 08 023,Estadísticas de primer orden*,9,Mejor estimación de la desviación típica (N-1),
0 08 023,Estadísticas de primer orden*,10,Desviación típica (N),
0 08 023,Estadísticas de primer orden*,11,Media armónica,
0 08 023,Estadísticas de primer orden*,12,Error vectorial cuadrático medio,
0 08 023,Estadísticas de primer orden*,13,Media cuadrática,
0 08 023,Estadísticas de primer orden*,14-31,Reservadas,
0 08 023,Estadísticas de primer orden*,32,Media vectorial,
0 08 023,Estadísticas de primer orden*,33-62,Reservadas para uso local,
0 08 023,Estadísticas de primer orden*,63,Valor faltante,
0 08 024,Estadísticas de diferencia*,0-1,Reservadas,
0 08 024,Estadísticas de diferencia*,2,Observada menos máxima,
0 08 024,Estadísticas de diferencia*,3,Observada menos mínima,
0 08 024,Estadísticas de diferencia*,4,Observada menos media,
0 08 024,Estadísticas de diferencia*,5,Observada menos mediana,
0 08 024,Estadísticas de diferencia*,6,Observada menos modo,
0 08 024,Estadísticas de diferencia*,7-10,Reservadas,
0 08 024,Estadísticas de diferencia*,11,Observada menos climatología (anomalía),
0 08 024,Estadísticas de diferencia*,12,Observada menos valor analizado,
0 08 024,Estadísticas de diferencia*,13,Observada menos valor analizado inicializado,
0 08 024,Estadísticas de diferencia*,14,Observada menos valor de predicción**,
0 08 024,Estadísticas de diferencia*,15-20,Reservadas,
0 08 024,Estadísticas de diferencia*,21,Observada menos valor interpolado,
0 08 024,Estadísticas de diferencia*,22,Observada menos valor calculado hidrostáticamente,
0 08 024,Estadísticas de diferencia*,23-31,Reservadas,
0 08 024,Estadísticas de diferencia*,32-62,Reservadas para uso local,
0 08 024,Estadísticas de diferencia*,63,Valor faltante,
0 08 025,Calificador de diferencia de tiempo,0,Tiempo universal coordinado (UTC) menos hora local de referencia,
0 08 025,Calificador de diferencia de tiempo,1,Hora local de referencia,
0 08 025,Calificador de diferencia de tiempo,2,Tiempo universal coordinado (UTC) menos reloj del satélite,
0 08 025,Calificador de diferencia de tiempo,3-4,Reservadas,
0 08 025,Calificador de diferencia de tiempo,5,Diferencia de tiempo desde el extremo del segmento de proceso,
0 08 025,Calificador de diferencia de tiempo,6-14,Reservadas,
0 08 025,Calificador de diferencia de tiempo,15,Valor faltante,
0 08 026,Significación matricial,0,Matriz núcleo de promediación,
0 08 026,Significación matricial,1,Matiz de correlación (C),
0 08 026,Significación matricial,2,Raíz cuadrada de la matriz de correlación triangular inferior (L en C=LLT),
0 08 026,Significación matricial,3,Valor inverso de la raíz cuadrada de la matriz de correlación triangular inferior (L-1),
0 08 026,Significación matricial,4-42,Reservadas,
0 08 026,Significación matricial,43-62,Reservadas para uso local,
0 08 026,Significación matricial,63,Valor faltante o de significación no definida,
0 08 029,Tipo de superficie,0,Mar abierto o mar semicerrado,
0 08 029,Tipo de superficie,1,Mar interior o lago,
0 08 029,Tipo de superficie,2,Hielo continental,
0 08 029,Tipo de superficie,3,Tierra,
0 08 029,Tipo de superficie,4,Tierras interiores bajas (bajo el nivel del mar),
0 08 029,Tipo de superficie,5,Mezcla de tierra y agua,
0 08 029,Tipo de superficie,6,Mezcla de tierra y tierras interiores bajas,
0 08 029,Tipo de superficie,7-10,Reservadas,
0 08 029,Tipo de superficie,11,Río,
0 08 029,Tipo de superficie,12,Lago,
0 08 029,Tipo de superficie,13,Mar,
0 08 029,Tipo de superficie,14,Glaciar,
0 08 029,Tipo de superficie,15,Zona urbana,
0 08 029,Tipo de superficie,16,Zona rural,
0 08 029,Tipo de superficie,17,Zona suburbana,
0 08 029,Tipo de superficie,18,Hielo marino,
0 08 029,Tipo de superficie,19-254,Reservadas,
0 08 029,Tipo de superficie,255,Valor faltante,
0 08 032,Estado de funcionamiento,0,Funcionamiento normal,
0 08 032,Estado de funcionamiento,1,Evento desencadenado por marea de tempestad,
0 08 032,Estado de funcionamiento,2,Evento desencadenado por tsunami,
0 08 032,Estado de funcionamiento,3,Evento desencadenado manualmente,
0 08 032,Estado de funcionamiento,4,Pruebas de instalación,
0 08 032,Estado de funcionamiento,5,Pruebas de mantenimiento,
0 08 032,Estado de funcionamiento,6-14,Reservadas,
0 08 032,Estado de funcionamiento,15,Valor faltante,
0 08 033,Método de derivación del porcentaje de confianza,0,Reservada,
0 08 033,Método de derivación del porcentaje de confianza,1,Porcentaje de confianza calculado en base a la fracción nubosa,
0 08 033,Método de derivación del porcentaje de confianza,2,Porcentaje de confianza calculado en base a la desviación estándar de la temperatura,
0 08 033,Método de derivación del porcentaje de confianza,3,Porcentaje de confianza calculado en base a la probabilidad de contaminación de la nube,
0 08 033,Método de derivación del porcentaje de confianza,4,Porcentaje de confianza calculado en base a la normalidad de la distribución,
0 08 033,Método de derivación del porcentaje de confianza,5-126,Reservadas,
0 08 033,Método de derivación del porcentaje de confianza,127,Valor faltante,
0 08 034,Calificador de medición de la temperatura/salinidad,0,Muestreo secundario: promediado,
0 08 034,Calificador de medición de la temperatura/salinidad,1,Muestreo secundario: discreto,
0 08 034,Calificador de medición de la temperatura/salinidad,2,Muestreo secundario: mixto,
0 08 034,Calificador de medición de la temperatura/salinidad,3,"Muestreo cerca de la superficie: promediado, con bombeo",
0 08 034,Calificador de medición de la temperatura/salinidad,4,"Muestreo cerca de la superficie: promediado, sin bombeo",
0 08 034,Calificador de medición de la temperatura/salinidad,5,"Muestreo cerca de la superficie: discreto, con bombeo",
0 08 034,Calificador de medición de la temperatura/salinidad,6,"Muestreo cerca de la superficie: discreto, sin bombeo",
0 08 034,Calificador de medición de la temperatura/salinidad,7,"Muestreo cerca de la superficie: mixto, con bombeo",
0 08 034,Calificador de medición de la temperatura/salinidad,8,"Muestreo cerca de la superficie: mixto, sin bombeo",
0 08 034,Calificador de medición de la temperatura/salinidad,9-14,Reservadas,
0 08 034,Calificador de medición de la temperatura/salinidad,15,Valor faltante,
0 08 035,Tipo de ejercicio de control,0,Mundial,
0 08 035,Tipo de ejercicio de control,1,Regional,
0 08 035,Tipo de ejercicio de control,2,Nacional,
0 08 035,Tipo de ejercicio de control,3,Especial,
0 08 035,Tipo de ejercicio de control,4,Bilateral,
0 08 035,Tipo de ejercicio de control,5,Reservada,
0 08 035,Tipo de ejercicio de control,6,Reservada,
0 08 035,Tipo de ejercicio de control,7,Valor faltante,
0 08 036,Tipo de centro o estación que realiza el control,0,Secretaría de la OMM,
0 08 036,Tipo de centro o estación que realiza el control,1,OMM,
0 08 036,Tipo de centro o estación que realiza el control,2,CMRE,
0 08 036,Tipo de centro o estación que realiza el control,3,CMN,
0 08 036,Tipo de centro o estación que realiza el control,4,CRT,
0 08 036,Tipo de centro o estación que realiza el control,5,Lugar de observación,
0 08 036,Tipo de centro o estación que realiza el control,6,Otros,
0 08 036,Tipo de centro o estación que realiza el control,7,Valor faltante,
0 08 037,Significación de la comprobación de la línea de referencia,0,Unidad de la comprobación de la línea de referencia del fabricante,
0 08 037,Significación de la comprobación de la línea de referencia,1,Pantalla de datos meteorológicos,
0 08 037,Significación de la comprobación de la línea de referencia,2,Cámara de humedad patrón GRUAN,
0 08 037,Significación de la comprobación de la línea de referencia,3-30,Reservadas,
0 08 037,Significación de la comprobación de la línea de referencia,31,Valor faltante,
0 08 038,Significación de los datos proporcionados por el instrumento,0,Lectura del instrumento verificada,
0 08 038,Significación de los datos proporcionados por el instrumento,1,Lectura del instrumento de referencia,
0 08 038,Significación de los datos proporcionados por el instrumento,2-254,Reservadas,
0 08 038,Significación de los datos proporcionados por el instrumento,255,Valor faltante,
0 08 039,Significación temporal (predicción aeronáutica),0,Hora de emisión de la predicción,
0 08 039,Significación temporal (predicción aeronáutica),1,Hora de comienzo del período de la predicción,
0 08 039,Significación temporal (predicción aeronáutica),2,Hora de finalización del período de la predicción,
0 08 039,Significación temporal (predicción aeronáutica),3,Hora de predicción de temperatura máxima,
0 08 039,Significación temporal (predicción aeronáutica),4,Hora de predicción de temperatura mínima,
0 08 039,Significación temporal (predicción aeronáutica),5,Hora de comienzo del cambio de la predicción,
0 08 039,Significación temporal (predicción aeronáutica),6,Hora de finalización del cambio de la predicción,
0 08 039,Significación temporal (predicción aeronáutica),7-62,Reservadas,
0 08 039,Significación temporal (predicción aeronáutica),63,Valor faltante,
0 08 040,Significación del nivel de vuelo,0,Muestra de datos de alta resolución,
0 08 040,Significación del nivel de vuelo,1,A 20 hPa de la superficie o menos,
0 08 040,Significación del nivel de vuelo,2,"Presión menor a 10 hPa (es decir, 9, 8, 7, etc.) cuando no se aplica otra razón",
0 08 040,Significación del nivel de vuelo,3,Nivel de presión de base del índice de estabilidad,
0 08 040,Significación del nivel de vuelo,4,"Comienzo de datos de altura, temperatura, dudosos",
0 08 040,Significación del nivel de vuelo,5,Comienzo de datos faltantes (todos los elementos),
0 08 040,Significación del nivel de vuelo,6,Comienzo de datos faltantes de humedad relativa,
0 08 040,Significación del nivel de vuelo,7,Comienzo de datos faltantes de temperatura,
0 08 040,Significación del nivel de vuelo,8,Máximo nivel alcanzado antes del descenso del globo por engelamiento o turbulencia,
0 08 040,Significación del nivel de vuelo,9,"Fin de datos de altura, temperatura, dudosos",
0 08 040,Significación del nivel de vuelo,10,Fin de datos faltantes (todos los elementos),
0 08 040,Significación del nivel de vuelo,11,Fin de datos faltantes de humedad relativa,
0 08 040,Significación del nivel de vuelo,12,Fin de datos faltantes de temperatura,
0 08 040,Significación del nivel de vuelo,13,Cruce(s) de cero grados Celsius para RADAT,
0 08 040,Significación del nivel de vuelo,14,Nivel de presión estándar,
0 08 040,Significación del nivel de vuelo,15,Nivel añadido por el operador,
0 08 040,Significación del nivel de vuelo,16,Nivel suprimido por el operador,
0 08 040,Significación del nivel de vuelo,17,Reascenso del globo por encima del máximo nivel anterior,
0 08 040,Significación del nivel de vuelo,18,Nivel de humedad relativa significativo,
0 08 040,Significación del nivel de vuelo,19,Selección del nivel de humedad relativa terminado,
0 08 040,Significación del nivel de vuelo,20,Nivel de superficie,
0 08 040,Significación del nivel de vuelo,21,Nivel de temperatura significativo,
0 08 040,Significación del nivel de vuelo,22,Nivel de temperatura obligatorio,
0 08 040,Significación del nivel de vuelo,23,Nivel de terminación de vuelo,
0 08 040,Significación del nivel de vuelo,24,Tropopausa(s),
0 08 040,Significación del nivel de vuelo,25,Informe de aeronave,
0 08 040,Significación del nivel de vuelo,26,Nivel interpolado (generado),
0 08 040,Significación del nivel de vuelo,27,Nivel de viento obligatorio,
0 08 040,Significación del nivel de vuelo,28,Nivel de viento significativo,
0 08 040,Significación del nivel de vuelo,29,Nivel de viento máximo,
0 08 040,Significación del nivel de vuelo,30,Nivel de viento con incrementos (fijado regionalmente),
0 08 040,Significación del nivel de vuelo,31,Nivel de altura con incrementos (generado),
0 08 040,Significación del nivel de vuelo,32,Nivel de terminación de viento,
0 08 040,Significación del nivel de vuelo,33,"Presión de 100 a 110 hPa, cuando no se aplica otra razón",
0 08 040,Significación del nivel de vuelo,34,Base del nivel de congelación,
0 08 040,Significación del nivel de vuelo,35,Cima del nivel de congelación,
0 08 040,Significación del nivel de vuelo,36,Base del nivel de vuelo,
0 08 040,Significación del nivel de vuelo,37,Cima del nivel de vuelo,
0 08 040,Significación del nivel de vuelo,38,Tope del sondeo del viento,
0 08 040,Significación del nivel de vuelo,39,Base del sondeo del viento,
0 08 040,Significación del nivel de vuelo,40,Nivel termodinámico significativo (inversión),
0 08 040,Significación del nivel de vuelo,41,Nivel de humedad relativa significativo (según criterios del NCDC),
